original_name,current_name
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
British Honduras,Belize
Benin,Benin
Dahomey,Benin
French Dahomey,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Bonaire,Bonaire
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
British Virgin Islands,British Virgin Islands
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Upper Volta,Burkina Faso
Burundi,Burundi
Ruanda-Urundi,Burundi
Cambodia,Cambodia
Khmer Republic,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,Cape Verde
Cayman Islands,Cayman Islands
Central African Republic,Central African Republic
Ubangi-Shari,Central African Republic
Chad,Chad
French Sudan,Chad
Chagos Islands,Chagos Islands
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
Congo,Congo
French Congo,Congo
Cook Islands,Cook Islands
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Curaçao,Curaçao
Netherlands Antilles,Curaçao
Cyprus,Cyprus
Czechia,Czechia
Czechoslovakia,Czechia
Bohemia,Czechia
Bohemia and Moravia,Czechia
Denmark,Denmark
Djibouti,Djibouti
French Somaliland,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
Zaire,DR Congo
DR Congo,DR Congo
Belgian Congo,DR Congo
Congo-Leopoldville,DR Congo
East Germany,East Germany
East Timor,East Timor
American Samoa,American Samoa
Eastern Samoa,American Samoa
Ecuador,Ecuador
Egypt,Egypt
United Arab Republic,Egypt
El Salvador,El Salvador
England,England
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Eswatini,Eswatini
Swaziland,Eswatini
Ethiopia,Ethiopia
Falkland Islands,Falkland Islands
Faroe Islands,Faroe Islands
Fiji,Fiji
Finland,Finland
France,France
French Guiana,French Guiana
FS Micronesia,FS Micronesia
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
West Germany,Germany
Ghana,Ghana
Gold Coast,Ghana
Gibraltar,Gibraltar
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Portuguese Guinea,Guinea-Bissau
Guyana,Guyana
British Guiana,Guyana
Haiti,Haiti
Honduras,Honduras
Hong Kong,Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
British India,India
Dutch East Indies,Indonesia
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Ivory Coast,Ivory Coast
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Kosovo,Kosovo
Kurdistan,Kurdistan
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
